fund_name,report_date,security_name,security_type,country_iso3,sector,shares,principal,market_value
gsam_emerging_markets_equity,"April 30, 2024",Caixa Seguridade Participacoes SA( Insurance),Common Stock,BRA,,2794579.0,,8427976.0
gsam_emerging_markets_equity,"April 30, 2024",Fleury SA( Health Care Equipment& Services),Common Stock,BRA,,3097700.0,,8638196.0
gsam_emerging_markets_equity,"April 30, 2024","Mercado Libre, Inc.( Consumer Discretionary Distribution& Retail)*",Common Stock,BRA,,22378.0,,32642789.0
gsam_emerging_markets_equity,"April 30, 2024","NUHoldings Ltd., Class A ( Banks)*",Common Stock,BRA,,1712468.0,,18597403.0
gsam_emerging_markets_equity,"April 30, 2024",Odontoprev SA( Health Care Equipment& Services),Common Stock,BRA,,1265710.0,,2912844.0
gsam_emerging_markets_equity,"April 30, 2024",PRIOSA( Energy),Common Stock,BRA,,1001900.0,,9261488.0
gsam_emerging_markets_equity,"April 30, 2024",Raia Drogasil SA( Consumer Staples Distribution& Retail),Common Stock,BRA,,2115600.0,,10421956.0
gsam_emerging_markets_equity,"April 30, 2024",Rumo SA( TTTransportation)*,Common Stock,BRA,,2457100.0,,9539563.0
gsam_emerging_markets_equity,"April 30, 2024",Sendas Distribuidora SA ( Consumer Staples Distribution & Retail)*,Common Stock,BRA,,5693200.0,,14384852.0
gsam_emerging_markets_equity,"April 30, 2024",TIMSA( TTTelecommunication Services),Common Stock,BRA,,4072400.0,,13810993.0
gsam_emerging_markets_equity,"April 30, 2024",TOTVSSA( Software& Services),Common Stock,BRA,,2324300.0,,12327393.0
gsam_emerging_markets_equity,"April 30, 2024",Vivara Participacoes SA ( Consumer Durables& Apparel),Common Stock,BRA,,957400.0,,145051264.0
gsam_emerging_markets_equity,"April 30, 2024",Alibaba Group Holding Ltd. ( Consumer Discretionary Distribution& Retail),Common Stock,CHN,,8632224.0,,80824070.0
gsam_emerging_markets_equity,"April 30, 2024",ANTTTASports Products Ltd. ( Consumer Durables& Apparel),Common Stock,CHN,,2054200.0,,23255583.0
gsam_emerging_markets_equity,"April 30, 2024","BYDCo. Ltd., Class H ( Automobiles& Components)",Common Stock,CHN,,908500.0,,24904332.0
gsam_emerging_markets_equity,"April 30, 2024","China Merchants Bank Co. Ltd., Class H( Banks)",Common Stock,CHN,,9166000.0,,39696641.0
gsam_emerging_markets_equity,"April 30, 2024","China Yangtze Power Co. Ltd., Class A( Utilities)",Common Stock,CHN,,3761780.0,,13374734.0
